participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.share,participant.control_treatment,participant.private_treatment,participant.journal_treatment,participant.dofus,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.journal,session.config.participation_fee,session.config.full_random,instructions.1.player.id_in_group,instructions.1.player.role,instructions.1.player.payoff,instructions.1.player.confirm_one,instructions.1.group.id_in_subsession,instructions.1.subsession.round_number,science_study.1.player.id_in_group,science_study.1.player.role,science_study.1.player.payoff,science_study.1.player.share,science_study.1.player.check_share,science_study.1.group.id_in_subsession,science_study.1.subsession.round_number,epq.1.player.id_in_group,epq.1.player.role,epq.1.player.payoff,epq.1.player.reflect,epq.1.player.researcher_feedback,epq.1.player.continent,epq.1.player.gender,epq.1.player.age,epq.1.player.risk,epq.1.player.trustworthy,epq.1.player.trusting,epq.1.player.accounting_research,epq.1.player.job_title,epq.1.player.research_area,epq.1.player.research_method,epq.1.player.res_meth_replicates,epq.1.player.acc_replicates,epq.1.player.acc_sub_replicates,epq.1.player.progress,epq.1.player.est_other_post_online,epq.1.player.check_est_other_post_online,epq.1.player.est_you_post_online,epq.1.player.reason_one,epq.1.player.reason_two,epq.1.player.reason_three,epq.1.player.reason_four,epq.1.player.reason_five,epq.1.player.reason_six,epq.1.player.reason_seven,epq.1.player.reason_eight,epq.1.player.reason_nine,epq.1.player.reason_eleven,epq.1.player.reason_twelve,epq.1.player.reason_ten,epq.1.player.reason_ten_text,epq.1.player.likelihood_future_post,epq.1.player.heard_materials,epq.1.player.encourage_others,epq.1.player.acc_favor_public_post,epq.1.player.check_acc_favor_public_post,epq.1.player.heard_prereg,epq.1.player.have_prereg,epq.1.player.first_time_prereg,epq.1.player.trust_prereg,epq.1.player.editors_believe,epq.1.player.check_editors_believe,epq.1.group.id_in_subsession,epq.1.subsession.round_number,end.1.player.id_in_group,end.1.player.role,end.1.player.payoff,end.1.group.id_in_subsession,end.1.subsession.round_number
42,sdygug6g,bqxb8x,0,1,10,instructions,Welcome,12:21.4,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,42,,0,0,1,1,42,,0,,,1,1,42,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,42,,0,1,1
43,q05oseud,qg4n03,0,1,10,,,12:21.9,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,43,,0,0,1,1,43,,0,,,1,1,43,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,43,,0,1,1
44,5btm4nm2,uqk693,0,1,10,instructions,Welcome,13:14.9,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,44,,0,0,1,1,44,,0,,,1,1,44,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,44,,0,1,1
45,o028n5oj,az2sbx,0,1,10,instructions,Welcome,16:03.4,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,45,,0,0,1,1,45,,0,,,1,1,45,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,45,,0,1,1
46,vidn9rix,dk8io2,0,1,10,,,16:35.1,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,46,,0,0,1,1,46,,0,,,1,1,46,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,46,,0,1,1
47,239dsex8,h7n8m6,0,9,10,epq,Thank,18:11.2,1,,,0,78,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,47,,0,1,1,1,47,,0,78,1,1,1,47,,0,"If I have put in hours and hours of effort hand collecting data, I do not believe I am under any responsibility to give away the competitive advantage I developed from all that effort. If people have to give away their hand-collected data, fewer people will do it.  ",,5,1,5,7,8,9,1,3,2,2,5,5,5,4,50,0,3,1,0,0,0,0,1,0,0,0,0,0,0,,2,4,1,50,0,5,1,,3,50,0,1,1,47,,0,1,1
48,q5wqhadn,jc5ect,0,9,10,epq,Thank,20:36.2,1,,,0,80,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,48,,0,1,1,1,48,,0,80,1,1,1,48,,0,I think this is good research practice and would like to answer 100%.  My level of trust in my peer researchers is quite a bit lower than that (I have seen too much) hence the 80% overall.,,4,1,5,8,6,4,1,3,3,5,1,1,1,4,50,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,2,3,3,80,0,4,2,2018,3,80,0,1,1,48,,0,1,1
49,d2q3vbta,wohoki,0,9,10,epq,Thank,21:47.7,1,,,0,0,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,49,,0,1,1,1,49,,0,0,1,1,1,49,,0,Confident tax data,,4,1,3,6,8,7,1,3,4,2,2,2,3,5,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,1,1,1,65,0,3,2,2020,3,43,0,1,1,49,,0,1,1
50,g1p34ds8,li99ba,0,1,10,instructions,Welcome,24:53.1,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,50,,0,0,1,1,50,,0,,,1,1,50,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,50,,0,1,1
51,5vk1vzlz,i3bdip,0,1,10,instructions,Welcome,25:03.9,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,51,,0,0,1,1,51,,0,,,1,1,51,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,51,,0,1,1
